"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02.04.2026","115,33","122,38","122,38","114,42","","0,44%"
"01.04.2026","114,83","116,02","117,70","112,86","","-1,05%"
"31.03.2026","116,05","123,28","123,32","115,32","","-9,22%"
"30.03.2026","127,84","130,39","132,00","127,68","","-4,01%"
"27.03.2026","133,18","129,40","133,99","127,36","","7,03%"
"26.03.2026","124,43","121,62","127,26","119,93","","4,24%"
"25.03.2026","119,37","120,63","122,23","119,04","","-3,84%"
"24.03.2026","124,14","125,59","126,71","122,34","","1,07%"
"23.03.2026","122,82","121,15","123,30","116,93","","-2,74%"
"20.03.2026","126,28","119,02","131,93","118,88","","6,94%"
"19.03.2026","118,09","134,00","134,26","116,63","","-6,65%"
"18.03.2026","126,50","114,82","126,55","113,96","","14,43%"
"17.03.2026","110,55","115,03","115,03","108,33","","-5,33%"
"16.03.2026","116,78","125,42","125,80","116,71","","-10,89%"
"13.03.2026","131,05","127,53","133,00","124,85","","0,67%"
"12.03.2026","130,18","129,19","131,18","125,01","","6,28%"
"11.03.2026","122,49","128,37","129,65","122,18","","-2,29%"
"10.03.2026","125,36","120,80","126,17","115,73","","2,25%"
"09.03.2026","122,60","137,07","138,94","118,08","","-12,70%"
"07.03.2026","140,44","127,82","140,44","140,44","","0,00%"
"06.03.2026","140,44","127,82","140,99","120,00","","21,14%"
"05.03.2026","115,93","110,92","120,88","109,78","","8,41%"
"04.03.2026","106,94","114,00","115,27","105,55","","-7,83%"
"03.03.2026","116,02","120,65","129,59","110,21","","2,27%"
"02.03.2026","113,44","118,76","118,76","109,92","","2,30%"
"27.02.2026","110,89","110,96","112,20","107,43","","6,47%"
"26.02.2026","104,15","103,87","111,68","103,56","","0,16%"
"25.02.2026","103,98","106,43","106,56","103,76","","-4,26%"
"24.02.2026","108,61","115,70","116,56","108,61","","-6,10%"
"23.02.2026","115,66","110,58","116,22","109,67","","6,39%"
"20.02.2026","108,71","114,39","114,44","108,26","","-2,65%"
