"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2026","21,879.18","21,472.52","21,906.48","21,371.32","1.39B","0.18%"
"04/01/2026","21,840.95","21,742.79","21,983.07","21,723.72","1.49B","1.16%"
"03/31/2026","21,590.63","21,064.33","21,642.62","21,063.38","1.99B","3.83%"
"03/30/2026","20,794.64","21,096.24","21,139.72","20,690.25","1.58B","-0.73%"
"03/27/2026","20,948.36","21,287.19","21,293.50","20,909.93","1.47B","-2.15%"
"03/26/2026","21,408.08","21,693.18","21,823.58","21,395.77","1.50B","-2.38%"
"03/25/2026","21,929.82","22,006.43","22,093.18","21,865.46","1.48B","0.77%"
"03/24/2026","21,761.89","21,807.60","21,916.16","21,712.04","1.56B","-0.84%"
"03/23/2026","21,946.76","21,995.78","22,189.34","21,865.80","1.67B","1.38%"
"03/20/2026","21,647.61","21,989.33","21,997.09","21,522.75","4.16B","-2.01%"
"03/19/2026","22,090.69","21,871.04","22,187.06","21,851.05","1.46B","-0.28%"
"03/18/2026","22,152.42","22,421.96","22,461.76","22,144.76","1.59B","-1.46%"
"03/17/2026","22,479.53","22,458.03","22,569.64","22,409.07","1.40B","0.47%"
"03/16/2026","22,374.18","22,340.39","22,521.59","22,316.63","1.45B","1.22%"
"03/13/2026","22,105.36","22,425.70","22,521.38","22,069.24","1.41B","-0.93%"
"03/12/2026","22,311.98","22,526.59","22,550.75","22,290.48","1.47B","-1.78%"
"03/11/2026","22,716.13","22,771.27","22,877.71","22,602.33","1.38B","0.08%"
"03/10/2026","22,697.10","22,722.94","22,906.72","22,608.23","1.44B","0.01%"
"03/09/2026","22,695.95","22,184.05","22,741.03","22,061.97","1.67B","1.38%"
"03/06/2026","22,387.68","22,421.17","22,614.41","22,328.13","1.59B","-1.59%"
"03/05/2026","22,748.99","22,707.47","22,877.02","22,500.29","1.74B","-0.26%"
"03/04/2026","22,807.48","22,620.89","22,891.88","22,570.67","1.61B","1.29%"
"03/03/2026","22,516.69","22,292.37","22,601.59","22,124.78","1.64B","-1.02%"
"03/02/2026","22,748.86","22,322.12","22,802.80","22,306.08","1.55B","0.36%"
"02/27/2026","22,668.21","22,615.43","22,735.78","22,538.30","2.14B","-0.92%"
"02/26/2026","22,878.38","23,100.58","23,109.46","22,670.80","1.66B","-1.18%"
"02/25/2026","23,152.08","23,005.01","23,169.68","23,004.69","1.50B","1.26%"
"02/24/2026","22,863.68","22,641.60","22,895.48","22,528.26","1.44B","1.04%"
"02/23/2026","22,627.27","22,840.97","22,893.22","22,547.12","1.43B","-1.13%"
"02/20/2026","22,886.07","22,542.28","22,948.87","22,539.05","1.54B","0.90%"
"02/19/2026","22,682.73","22,639.88","22,768.83","22,583.61","1.27B","-0.31%"
"02/18/2026","22,753.63","22,629.85","22,895.96","22,597.77","1.41B","0.78%"
"02/17/2026","22,578.38","22,394.76","22,690.83","22,256.76","1.42B","0.14%"
"02/13/2026","22,546.67","22,561.46","22,742.06","22,402.38","1.48B","-0.22%"
"02/12/2026","22,597.15","23,142.87","23,161.60","22,548.02","1.77B","-2.03%"
"02/11/2026","23,066.47","23,278.29","23,320.62","22,902.01","1.65B","-0.16%"
"02/10/2026","23,102.47","23,271.22","23,310.73","23,089.10","1.50B","-0.59%"
"02/09/2026","23,238.67","22,952.24","23,314.67","22,878.37","1.53B","0.90%"
"02/06/2026","23,031.21","22,625.30","23,088.46","22,586.40","1.82B","2.18%"
"02/05/2026","22,540.59","22,604.02","22,841.28","22,461.14","1.92B","-1.59%"
"02/04/2026","22,904.58","23,217.02","23,270.07","22,684.51","2.01B","-1.51%"
"02/03/2026","23,255.19","23,667.44","23,691.60","23,027.21","1.84B","-1.43%"
"02/02/2026","23,592.11","23,370.54","23,686.83","23,356.40","1.56B","0.56%"
"01/30/2026","23,461.82","23,578.96","23,662.25","23,351.55","2.04B","-0.94%"
"01/29/2026","23,685.12","23,830.92","23,840.55","23,232.78","1.71B","-0.72%"
"01/28/2026","23,857.45","23,965.11","23,988.27","23,775.49","1.47B","0.17%"
"01/27/2026","23,817.10","23,734.75","23,865.26","23,694.38","1.40B","0.91%"
"01/26/2026","23,601.36","23,529.28","23,688.94","23,486.08","1.42B","0.43%"
"01/23/2026","23,501.24","23,440.92","23,610.74","23,374.26","1.49B","0.28%"
"01/22/2026","23,436.02","23,440.71","23,503.16","23,335.15","1.58B","0.91%"
"01/21/2026","23,224.82","23,017.68","23,383.24","22,927.88","1.70B","1.18%"
"01/20/2026","22,954.32","23,142.69","23,236.05","22,916.83","1.77B","-2.39%"
"01/16/2026","23,515.39","23,639.69","23,664.26","23,446.81","2.00B","-0.06%"
"01/15/2026","23,530.02","23,693.97","23,721.11","23,502.18","1.56B","0.25%"
"01/14/2026","23,471.75","23,563.92","23,590.20","23,306.66","1.69B","-1.00%"
"01/13/2026","23,709.87","23,735.12","23,813.30","23,607.59","1.55B","-0.10%"
"01/12/2026","23,733.90","23,576.88","23,804.04","23,562.97","1.47B","0.26%"
"01/09/2026","23,671.35","23,496.21","23,721.15","23,426.48","1.41B","0.81%"
"01/08/2026","23,480.02","23,548.88","23,558.17","23,353.46","1.42B","-0.44%"
"01/07/2026","23,584.28","23,544.89","23,723.37","23,504.21","1.44B","0.16%"
"01/06/2026","23,547.17","23,446.96","23,559.15","23,389.57","1.59B","0.65%"
"01/05/2026","23,395.82","23,449.67","23,476.51","23,332.23","1.58B","0.69%"
"01/02/2026","23,235.63","23,481.49","23,585.96","23,119.49","1.35B","-0.03%"
"12/31/2025","23,241.99","23,420.85","23,445.26","23,237.78","1.14B","-0.76%"
"12/30/2025","23,419.08","23,465.67","23,521.05","23,414.83","1.05B","-0.24%"
"12/29/2025","23,474.35","23,414.68","23,531.02","23,397.52","1.09B","-0.50%"
"12/26/2025","23,593.10","23,645.91","23,665.15","23,567.86","853.27M","-0.09%"
"12/24/2025","23,613.31","23,555.95","23,621.72","23,527.97","615.75M","0.22%"
"12/23/2025","23,561.84","23,407.70","23,563.46","23,377.49","1.21B","0.57%"
"12/22/2025","23,428.83","23,450.53","23,476.50","23,362.93","1.35B","0.52%"
"12/19/2025","23,307.62","23,121.90","23,307.91","23,106.19","4.42B","1.31%"
"12/18/2025","23,006.36","23,012.06","23,149.61","22,906.23","1.57B","1.38%"
"12/17/2025","22,693.32","23,135.61","23,159.20","22,692.00","1.69B","-1.81%"
"12/16/2025","23,111.46","22,981.82","23,162.60","22,920.66","1.52B","0.23%"
"12/15/2025","23,057.41","23,330.04","23,345.56","23,012.00","1.67B","-0.59%"
"12/12/2025","23,195.17","23,488.87","23,554.89","23,094.51","1.56B","-1.69%"
"12/11/2025","23,593.86","23,509.22","23,606.70","23,308.95","1.43B","-0.25%"
"12/10/2025","23,654.15","23,536.00","23,704.08","23,435.17","1.57B","0.33%"
"12/09/2025","23,576.49","23,504.61","23,616.46","23,449.73","1.29B","0.13%"
"12/08/2025","23,545.90","23,638.22","23,698.93","23,455.05","1.48B","-0.14%"
"12/05/2025","23,578.13","23,567.77","23,680.03","23,506.00","1.40B","0.31%"
"12/04/2025","23,505.14","23,527.30","23,528.53","23,372.33","1.35B","0.22%"
"12/03/2025","23,454.09","23,315.58","23,499.93","23,271.83","1.42B","0.17%"
"12/02/2025","23,413.67","23,379.75","23,526.23","23,286.46","1.45B","0.59%"
"12/01/2025","23,275.92","23,172.34","23,363.85","23,110.21","1.44B","-0.38%"
"11/28/2025","23,365.69","23,291.59","23,365.79","23,250.51","869.35M","0.65%"
"11/26/2025","23,214.69","23,163.19","23,280.58","23,074.39","1.42B","0.82%"
"11/25/2025","23,025.59","22,802.85","23,070.09","22,587.11","1.48B","0.67%"
"11/24/2025","22,872.01","22,482.16","22,916.40","22,478.27","2.21B","2.69%"
"11/21/2025","22,273.08","22,162.83","22,531.84","21,898.29","1.91B","0.88%"
"11/20/2025","22,078.05","23,057.00","23,147.33","22,043.20","1.79B","-2.15%"
"11/19/2025","22,564.23","22,459.27","22,821.24","22,385.22","1.49B","0.59%"
"11/18/2025","22,432.85","22,565.90","22,643.01","22,231.15","1.60B","-1.21%"
"11/17/2025","22,708.07","22,788.32","23,044.55","22,559.51","1.56B","-0.84%"
"11/14/2025","22,900.59","22,544.72","23,073.18","22,436.79","1.66B","0.13%"
"11/13/2025","22,870.36","23,262.64","23,264.27","22,796.07","1.78B","-2.29%"
"11/12/2025","23,406.46","23,563.84","23,564.09","23,278.30","1.59B","-0.26%"
"11/11/2025","23,468.30","23,407.72","23,508.44","23,315.28","1.45B","-0.25%"
"11/10/2025","23,527.17","23,354.85","23,569.62","23,290.05","1.65B","2.27%"
"11/07/2025","23,004.54","22,892.92","23,009.91","22,563.42","1.80B","-0.21%"
"11/06/2025","23,053.99","23,461.29","23,469.55","23,011.06","1.82B","-1.90%"
"11/05/2025","23,499.80","23,358.07","23,636.53","23,286.87","1.72B","0.65%"
"11/04/2025","23,348.64","23,458.21","23,644.15","23,333.32","1.71B","-2.04%"
"11/03/2025","23,834.72","23,951.91","23,976.84","23,764.87","1.70B","0.46%"
"10/31/2025","23,724.96","23,941.78","23,946.23","23,628.82","1.71B","0.61%"
"10/30/2025","23,581.14","23,793.08","23,846.13","23,578.47","1.67B","-1.57%"
"10/29/2025","23,958.47","23,987.29","24,019.99","23,763.99","1.73B","0.55%"
"10/28/2025","23,827.49","23,766.46","23,901.36","23,675.19","1.61B","0.80%"
"10/27/2025","23,637.46","23,537.32","23,658.66","23,493.96","1.67B","1.86%"
"10/24/2025","23,204.87","23,143.23","23,261.26","23,127.96","1.55B","1.15%"
"10/23/2025","22,941.80","22,751.33","22,983.46","22,732.18","1.49B","0.89%"
"10/22/2025","22,740.40","22,940.79","22,978.40","22,514.08","2.06B","-0.93%"
"10/21/2025","22,953.67","22,984.55","23,010.35","22,894.42","1.67B","-0.16%"
"10/20/2025","22,990.54","22,844.82","23,031.87","22,841.00","1.57B","1.37%"
"10/17/2025","22,679.97","22,489.81","22,736.01","22,396.65","1.67B","0.52%"
"10/16/2025","22,562.54","22,764.40","22,886.87","22,404.69","1.83B","-0.47%"
"10/15/2025","22,670.08","22,738.50","22,841.69","22,427.79","1.88B","0.66%"
"10/14/2025","22,521.70","22,388.04","22,691.07","22,213.73","1.68B","-0.76%"
"10/13/2025","22,694.61","22,578.67","22,718.75","22,499.49","1.64B","2.21%"
"10/10/2025","22,204.43","23,043.52","23,119.91","22,193.07","2.16B","-3.56%"
"10/09/2025","23,024.63","23,045.33","23,062.62","22,899.16","1.74B","-0.08%"
"10/08/2025","23,043.38","22,852.32","23,045.14","22,845.42","1.92B","1.12%"
"10/07/2025","22,788.36","22,972.37","23,006.07","22,718.76","1.83B","-0.67%"
"10/06/2025","22,941.67","22,894.35","22,991.72","22,827.56","1.83B","0.71%"
"10/03/2025","22,780.51","22,886.16","22,925.43","22,695.82","1.77B","-0.28%"
"10/02/2025","22,844.05","22,885.90","22,900.60","22,729.75","1.60B","0.39%"
"10/01/2025","22,755.16","22,530.95","22,782.58","22,516.74","1.66B","0.42%"
"09/30/2025","22,660.01","22,580.36","22,671.39","22,493.96","1.72B","0.30%"
"09/29/2025","22,591.15","22,605.30","22,704.90","22,536.05","1.66B","0.48%"
"09/26/2025","22,484.07","22,403.27","22,488.18","22,285.44","1.40B","0.44%"
"09/25/2025","22,384.70","22,318.77","22,456.78","22,185.87","1.62B","-0.50%"
"09/24/2025","22,497.86","22,656.02","22,657.45","22,397.00","1.62B","-0.33%"
"09/23/2025","22,573.47","22,782.72","22,785.13","22,539.04","1.74B","-0.95%"
"09/22/2025","22,788.98","22,606.59","22,801.90","22,590.86","1.78B","0.70%"
"09/19/2025","22,631.48","22,554.31","22,645.11","22,497.71","4.47B","0.72%"
"09/18/2025","22,470.72","22,439.11","22,540.93","22,358.48","1.82B","0.94%"
"09/17/2025","22,261.33","22,333.02","22,339.54","22,058.92","1.68B","-0.33%"
"09/16/2025","22,333.96","22,397.50","22,397.50","22,308.78","1.49B","-0.07%"
"09/15/2025","22,348.75","22,243.20","22,352.25","22,233.00","1.51B","0.94%"
"09/12/2025","22,141.10","22,078.63","22,182.34","22,031.62","1.49B","0.44%"
"09/11/2025","22,043.07","21,977.52","22,059.71","21,908.81","1.68B","0.72%"
"09/10/2025","21,886.06","21,980.60","22,000.97","21,810.84","1.56B","0.03%"
"09/09/2025","21,879.49","21,858.17","21,891.42","21,731.48","1.38B","0.37%"
"09/08/2025","21,798.70","21,806.22","21,885.62","21,776.24","1.42B","0.45%"
"09/05/2025","21,700.39","21,860.44","21,878.81","21,534.72","1.40B","-0.03%"
"09/04/2025","21,707.69","21,539.91","21,711.96","21,469.40","1.30B","0.98%"
"09/03/2025","21,497.73","21,461.63","21,553.98","21,370.98","1.33B","1.02%"
"09/02/2025","21,279.63","21,086.57","21,293.69","21,033.05","1.42B","-0.82%"
"08/29/2025","21,455.55","21,630.33","21,631.15","21,397.98","1.38B","-1.15%"
"08/28/2025","21,705.16","21,619.27","21,742.46","21,534.94","1.28B","0.53%"
"08/27/2025","21,590.14","21,526.33","21,616.17","21,476.30","1.45B","0.21%"
"08/26/2025","21,544.27","21,443.63","21,550.93","21,389.10","1.77B","0.44%"
"08/25/2025","21,449.29","21,466.47","21,572.18","21,400.09","1.34B","-0.22%"
"08/22/2025","21,496.54","21,139.83","21,545.43","21,092.36","1.55B","1.88%"
"08/21/2025","21,100.31","21,112.52","21,198.76","21,013.53","1.06B","-0.34%"
"08/20/2025","21,172.86","21,269.67","21,269.67","20,905.99","1.31B","-0.67%"
"08/19/2025","21,314.95","21,607.45","21,610.24","21,277.71","1.36B","-1.46%"
"08/18/2025","21,629.77","21,616.82","21,651.50","21,559.33","1.38B","0.03%"
"08/15/2025","21,622.98","21,709.34","21,716.18","21,567.46","1.54B","-0.40%"
"08/14/2025","21,710.67","21,649.21","21,766.29","21,627.13","1.45B","-0.01%"
"08/13/2025","21,713.14","21,764.55","21,803.75","21,645.14","1.58B","0.14%"
"08/12/2025","21,681.90","21,507.44","21,689.68","21,386.25","1.45B","1.39%"
"08/11/2025","21,385.40","21,459.65","21,549.73","21,346.62","1.53B","-0.30%"
"08/08/2025","21,450.02","21,316.37","21,464.53","21,284.97","1.43B","0.98%"
"08/07/2025","21,242.70","21,325.01","21,408.15","21,090.05","1.51B","0.35%"
"08/06/2025","21,169.42","20,955.22","21,183.88","20,937.49","1.48B","1.21%"
"08/05/2025","20,916.55","21,092.10","21,138.72","20,893.29","1.40B","-0.65%"
"08/04/2025","21,053.58","20,853.91","21,055.24","20,833.86","1.31B","1.95%"
"08/01/2025","20,650.13","20,830.64","20,865.63","20,560.17","1.55B","-2.24%"
"07/31/2025","21,122.45","21,457.48","21,457.48","21,078.67","1.72B","-0.03%"
"07/30/2025","21,129.67","21,140.40","21,230.88","21,016.92","1.48B","0.15%"
"07/29/2025","21,098.29","21,286.72","21,303.96","21,081.69","1.49B","-0.38%"
"07/28/2025","21,178.58","21,176.40","21,202.18","21,122.12","1.43B","0.33%"
"07/25/2025","21,108.32","21,059.94","21,159.80","21,036.85","1.39B","0.24%"
"07/24/2025","21,057.96","21,083.82","21,113.10","21,001.68","1.59B","0.18%"
"07/23/2025","21,020.02","20,966.47","21,023.85","20,870.67","1.59B","0.61%"
"07/22/2025","20,892.69","20,982.21","20,985.34","20,750.90","1.60B","-0.39%"
"07/21/2025","20,974.18","20,960.33","21,077.37","20,957.44","1.70B","0.38%"
"07/18/2025","20,895.65","20,959.57","20,980.56","20,846.12","1.59B","0.05%"
"07/17/2025","20,885.65","20,760.32","20,911.83","20,735.55","1.74B","0.75%"
"07/16/2025","20,730.49","20,717.81","20,751.05","20,507.06","1.50B","0.25%"
"07/15/2025","20,677.80","20,822.76","20,836.04","20,670.58","1.38B","0.18%"
"07/14/2025","20,640.33","20,592.56","20,672.34","20,492.63","1.38B","0.27%"
"07/11/2025","20,585.53","20,562.88","20,647.97","20,509.75","1.31B","-0.22%"
"07/10/2025","20,630.66","20,636.48","20,655.39","20,495.14","1.43B","0.09%"
"07/09/2025","20,611.34","20,522.09","20,645.41","20,486.38","1.41B","0.94%"
"07/08/2025","20,418.46","20,466.93","20,480.89","20,377.36","1.50B","0.03%"
"07/07/2025","20,412.52","20,490.55","20,511.82","20,323.02","1.45B","-0.92%"
"07/03/2025","20,601.10","20,497.66","20,624.51","20,480.22","974.43M","1.02%"
"07/02/2025","20,393.13","20,184.37","20,397.22","20,181.74","1.42B","0.94%"
"07/01/2025","20,202.89","20,290.61","20,339.05","20,105.41","1.46B","-0.82%"
"06/30/2025","20,369.73","20,360.15","20,418.31","20,266.36","1.58B","0.47%"
"06/27/2025","20,273.46","20,217.26","20,311.51","20,095.05","3.66B","0.52%"
"06/26/2025","20,167.91","20,062.19","20,187.15","19,982.48","1.42B","0.97%"
"06/25/2025","19,973.55","20,013.95","20,052.78","19,918.08","1.28B","0.31%"
"06/24/2025","19,912.53","19,809.62","19,946.72","19,795.29","1.45B","1.43%"
"06/23/2025","19,630.97","19,427.01","19,643.70","19,334.98","1.40B","0.94%"
"06/20/2025","19,447.41","19,639.41","19,696.11","19,380.58","2.83B","-0.51%"
"06/18/2025","19,546.27","19,526.92","19,660.77","19,489.56","1.33B","0.13%"
"06/17/2025","19,521.09","19,627.08","19,666.56","19,485.44","1.37B","-0.91%"
"06/16/2025","19,701.21","19,550.75","19,733.31","19,550.75","1.36B","1.52%"
"06/13/2025","19,406.83","19,450.93","19,591.87","19,367.42","1.28B","-1.30%"
"06/12/2025","19,662.48","19,578.87","19,690.61","19,553.56","1.40B","0.24%"
"06/11/2025","19,615.88","19,779.36","19,800.46","19,551.35","1.43B","-0.50%"
"06/10/2025","19,714.99","19,620.11","19,730.38","19,539.09","1.43B","0.63%"
"06/09/2025","19,591.24","19,573.14","19,637.56","19,531.10","1.41B","0.31%"
"06/06/2025","19,529.95","19,526.99","19,593.18","19,464.84","1.21B","1.20%"
"06/05/2025","19,298.45","19,518.20","19,610.51","19,226.21","1.37B","-0.83%"
"06/04/2025","19,460.49","19,434.94","19,493.45","19,359.09","1.21B","0.32%"
"06/03/2025","19,398.96","19,288.66","19,459.28","19,224.70","1.32B","0.81%"
"06/02/2025","19,242.61","19,063.06","19,252.71","18,985.30","1.27B","0.67%"
"05/30/2025","19,113.77","19,131.22","19,157.78","18,847.74","2.09B","-0.32%"
"05/29/2025","19,175.87","19,389.39","19,389.39","19,091.54","1.33B","0.39%"
"05/28/2025","19,100.94","19,232.62","19,276.83","19,084.38","1.24B","-0.51%"
"05/27/2025","19,199.16","19,014.44","19,210.95","18,961.69","1.39B","2.47%"
"05/23/2025","18,737.21","18,622.38","18,841.52","18,599.69","1.21B","-1.00%"
"05/22/2025","18,925.73","18,888.05","19,061.11","18,840.34","1.31B","0.28%"
"05/21/2025","18,872.64","19,002.94","19,241.41","18,799.20","1.49B","-1.41%"
"05/20/2025","19,142.71","19,132.06","19,186.69","19,015.63","1.29B","-0.38%"
"05/19/2025","19,215.46","18,937.42","19,227.22","18,937.42","1.56B","0.02%"
"05/16/2025","19,211.10","19,151.54","19,213.42","19,038.48","1.61B","0.52%"
"05/15/2025","19,112.32","19,031.24","19,207.22","18,967.78","1.47B","-0.18%"
"05/14/2025","19,146.81","19,074.72","19,174.55","19,023.61","1.62B","0.72%"
"05/13/2025","19,010.09","18,761.23","19,065.96","18,745.50","1.56B","1.61%"
"05/12/2025","18,708.34","18,674.55","18,710.22","18,472.71","1.76B","4.35%"
"05/09/2025","17,928.92","18,022.55","18,068.90","17,853.84","1.37B","0.00%"
"05/08/2025","17,928.14","17,920.15","18,096.00","17,776.00","1.46B","1.07%"
"05/07/2025","17,738.16","17,706.83","17,820.29","17,503.01","1.43B","0.27%"
"05/06/2025","17,689.66","17,623.21","17,830.35","17,592.88","1.23B","-0.87%"
